motherid,sdate,edate,seventtype,eeventtype,locationid,location,episode_id
CAA034016,2002-08-15,2002-10-15,2,2,NBD041,1,236
CAA034016,2002-10-15,2003-11-15,2,2,CAA034,2,237
CAA034016,2002-10-15,2003-11-15,2,2,NBD041,1,238
CAA034016,2003-11-15,2004-06-13,2,2,CAA034,2,239
CAA034016,2003-11-15,2004-06-13,2,2,NBD041,1,240
CAA034016,2004-06-13,2005-05-15,2,2,CAA034,2,241
CAA034016,2004-06-13,2005-05-15,2,2,NBD041,1,242
CAA034016,2011-05-08,2017-04-15,2,2,CAA034,2,243
CAA034016,2011-05-08,2017-04-15,2,2,NBD041,1,244
CAA034020,2000-12-10,2001-06-15,2,2,NGA016,2,245
CAA034020,2002-04-08,2002-08-15,2,2,NGA016,2,246
CAA034020,2002-08-15,2003-02-15,2,2,NGA016,2,247
CAA034020,2003-02-15,2003-09-29,2,2,NGA016,2,248
CAA034020,2003-09-29,2006-07-15,2,2,NGA016,2,249
CAA034020,2008-03-20,2013-01-15,2,2,NGA016,2,250
CAA034022,2007-12-24,2008-08-11,2,2,CAA034,2,251
CAA034022,2007-12-24,2008-08-11,2,2,CAC001,2,252
CAA034022,2008-08-11,2009-01-15,2,2,CAA034,2,253
CAA034022,2008-08-11,2009-01-15,2,2,CAC001,2,254
CAA034022,2009-03-26,2016-11-15,2,2,CAA034,2,255
CAA034022,2009-03-26,2016-11-15,2,2,CAC001,2,256
CAA034027,NA,NA,NA,NA,CAA034,2,257
CAA035005,1997-10-15,2000-04-15,2,2,CAA035,2,258
CAA035016,1997-06-15,2001-11-15,2,2,CAM039,2,259
CAA035016,2001-11-15,2004-06-15,2,2,CAM039,2,260
CAA036003,1995-11-16,2001-05-15,3,2,CAA036,2,261
CAA036003,1995-11-16,2001-05-15,3,2,CAU004,2,262
CAA036003,2001-05-15,2011-03-15,2,2,CAA036,2,263
CAA036003,2001-05-15,2011-03-15,2,2,CAU004,2,264
CAA036003,2011-06-15,2019-06-15,2,2,CAA036,2,265
CAA036003,2011-06-15,2019-06-15,2,2,CAU004,2,266
CAA036011,2001-09-15,2003-08-15,2,2,CAA036,2,267
CAA036011,2005-02-15,2008-07-15,2,2,CAA036,2,268
CAA036015,2004-07-15,2005-02-15,2,2,SGP087,2,269
CAA036015,2005-02-15,2011-09-15,2,2,SGP087,2,270
CAA036017,2009-01-16,2009-10-15,2,2,CAA036,2,271
CAA036017,2010-06-15,2011-11-15,2,2,CAA036,2,272
CAA036018,2008-11-15,2019-06-15,2,2,CAA036,2,273
CAA036020,2009-02-15,2012-05-15,2,2,CAA036,2,274
CAA037002,1995-11-16,1999-07-19,3,2,CAA037,2,275
CAA037007,1995-11-16,2005-07-10,3,2,CAA037,2,276
CAA037007,2010-03-15,2010-12-15,2,2,CAA037,2,277
CAA037013,1998-03-15,1999-08-15,2,2,CAA037,2,278
CAA037019,2003-04-03,2010-01-16,2,2,WEG087,2,279
CAA037019,2003-04-03,2010-01-16,2,2,WEG087,1,280
CAA037025,2009-10-15,2012-11-15,2,2,CAA037,2,281
CAA038004,NA,NA,NA,NA,CAA038,2,282
CAA038014,2008-01-05,2008-03-15,2,2,CAA038,2,283
CAA038014,2008-01-05,2008-03-15,2,2,NGC086,2,284
CAA038018,1995-11-16,1997-06-15,3,2,CAI010,2,285
CAA038018,1997-06-15,2001-05-15,2,2,CAI010,2,286
CAA038035,NA,NA,NA,NA,CAA038,2,287
CAA038040,NA,NA,NA,NA,CAA038,2,288
CAA039001,1995-11-16,2002-12-19,3,2,CAA039,2,289
CAA039008,2001-08-21,2002-12-19,1,2,WFD062,1,290
CAA039008,2003-10-06,2010-08-15,2,2,WFD062,1,291
CAA039008,2012-02-15,2013-07-15,2,2,WFD062,1,292
CAA039008,2014-07-25,2017-04-15,2,2,WFD062,1,293
CAA039008,2017-04-15,2019-01-15,2,2,WFD062,1,294
CAA039008,2019-06-15,2020-06-15,2,2,WFD062,1,295
CAA039018,2011-04-15,2017-05-15,2,2,CAA039,2,296
CAA040002,NA,NA,NA,NA,CAA040,2,297
CAA040003,NA,NA,NA,NA,CAA040,2,298
CAA040005,1995-11-16,2010-01-18,3,2,CAA040,2,299
CAA040005,2010-05-15,2019-06-15,2,2,CAA040,2,300
CAA040006,1995-11-16,2005-01-11,3,2,CAA040,2,301
CAA040006,2009-06-15,2012-06-15,2,2,CAA040,2,302
CAA040006,2013-06-15,2019-02-15,2,2,CAA040,2,303
CAA040011,1995-11-16,1996-06-20,3,2,CAA040,2,304
CAA040011,1996-06-20,1997-06-15,2,2,CAA040,2,305
CAA040027,2000-07-04,2002-10-14,2,2,CAM001,2,306
CAA040027,2000-07-04,2002-10-14,2,2,CAA040,2,307
CAA040027,2002-10-14,2015-06-15,2,2,CAM001,2,308
CAA040027,2002-10-14,2015-06-15,2,2,CAA040,2,309
CAA042008,1995-11-16,2000-04-15,3,2,CAA046,2,310
CAA042008,2000-04-15,2008-03-15,2,2,CAA046,2,311
CAA042008,2008-12-15,2015-06-15,2,2,CAA046,2,312
CAA042008,2017-12-19,2018-06-15,2,2,CAA046,2,313
CAA044005,NA,NA,NA,NA,CAA044,2,314
CAA044007,NA,NA,NA,NA,CAA044,2,315
CAA044014,1995-11-16,2007-10-15,3,2,NEC075,2,316
CAA044017,1995-11-16,2017-12-10,3,2,CAA044,2,317
CAA044017,2017-12-10,2020-06-15,2,2,CAA044,2,318
CAA044018,1995-11-16,2006-07-15,3,2,NBA047,2,319
CAA044018,2008-12-15,2014-06-15,2,2,NBA047,2,320
CAA044019,1995-11-16,2011-02-15,3,2,CAF036,2,321
CAA044019,1995-11-16,2011-02-15,3,2,CAD091,2,322
CAA044019,2011-01-25,2011-11-15,2,2,CAF036,2,323
CAA044019,2011-01-25,2011-11-15,2,2,CAD091,2,324
CAA044019,2011-11-15,2013-08-15,2,2,CAF036,2,325
CAA044019,2011-11-15,2013-08-15,2,2,CAD091,2,326
CAA044023,1997-01-04,2020-06-15,1,2,CAA044,2,327
CAA044030,2001-05-15,2007-08-15,2,2,CAA044,1,328
CAA044030,2001-05-15,2007-08-15,2,2,WFF027,2,329
CAA044030,2001-05-15,2007-08-15,2,2,CAA044,2,330
CAA044030,2007-08-15,2015-03-15,2,2,CAA044,1,331
CAA044030,2007-08-15,2015-03-15,2,2,WFF027,2,332
CAA044030,2007-08-15,2015-03-15,2,2,CAA044,2,333
CAA044032,2002-12-15,2005-04-15,2,2,CAA089,2,334
CAA044032,2005-04-15,2009-08-15,2,2,CAA089,2,335
CAA044037,2007-12-15,2010-06-15,2,2,NGF055,1,336
CAA044037,2010-06-15,2012-04-15,2,2,NGF055,1,337
CAA045008,1995-11-16,2001-04-24,3,2,CAP015,2,338
CAA045015,2002-01-20,2014-06-15,2,2,CAM070,2,339
CAA045019,2015-02-04,2016-05-15,2,2,CAA045,2,340
CAA046006,1995-11-16,1996-11-16,3,2,WFG114,2,341
CAA046006,1996-11-16,2000-07-15,2,2,WFG114,2,342
CAA046006,2004-06-15,2016-04-15,2,2,WFG114,2,343
CAA046006,2017-04-15,2019-01-15,2,2,WFG114,2,344
CAA046019,1997-03-06,2000-04-15,2,2,CAA046,2,345
CAA046019,2000-04-15,2000-11-20,2,2,CAA046,2,346
CAA046019,2000-11-20,2001-09-15,2,2,CAA046,2,347
CAA046019,2001-09-15,2004-06-06,2,2,CAA046,2,348
CAA046039,2006-10-20,2010-04-15,2,2,CAA046,1,349
CAA046039,2006-10-20,2010-04-15,2,2,NBG029,2,350
CAA046039,2010-06-15,2011-08-24,2,2,CAA046,1,351
CAA046039,2010-06-15,2011-08-24,2,2,NBG029,2,352
CAA046039,2013-07-15,2015-03-15,2,2,CAA046,1,353
CAA046039,2013-07-15,2015-03-15,2,2,NBG029,2,354
CAA046041,2004-11-15,2010-07-15,2,2,CAA046,2,355
CAA046041,2004-11-15,2010-07-15,2,2,CAM124,2,356
CAA049003,1995-11-16,1997-07-15,3,2,NEE035,1,357
CAA049003,1999-12-15,2011-02-15,2,2,NEE035,1,358
CAA049003,2011-06-15,2013-05-15,2,2,NEE035,1,359
CAA049005,1999-12-15,2002-12-05,3,2,CAA049,2,360
CAA050009,1995-11-16,2004-05-25,3,2,CAA050,2,361
CAA050009,2004-12-24,2006-11-15,2,2,CAA050,2,362
CAA050010,1995-11-16,1997-08-15,3,2,CAM052,2,363
CAA050010,1997-08-15,2005-01-15,2,2,CAM052,2,364
CAA050010,2005-03-05,2009-05-15,2,2,CAM052,2,365
CAA050010,2009-05-15,2017-06-15,2,2,CAM052,2,366
CAA051003,2000-11-15,2001-06-15,2,2,NFF063,2,367
CAA051003,2001-09-15,2002-03-15,2,2,NFF063,2,368
CAA051003,2002-03-15,2010-02-15,2,2,NFF063,2,369
CAA051003,2009-08-01,2015-05-15,2,2,NFF063,2,370
CAA051004,1995-11-16,2002-04-09,3,2,CAA051,2,371
CAA051004,2002-04-09,2005-10-26,2,2,CAA051,2,372
CAA051004,2006-05-16,2006-05-16,2,2,CAA051,2,373
CAA051004,2007-03-15,2013-08-15,2,2,CAA051,2,374
CAA051013,1997-05-15,1998-06-15,2,2,CAF098,2,375
CAA051013,1998-06-15,2001-06-15,2,2,CAF098,2,376
CAA051013,2001-06-15,2006-02-14,2,2,CAF098,2,377
CAA051018,NA,NA,NA,NA,CAA051,2,378
CAA051030,2011-10-31,2015-02-15,2,2,CAA051,2,379
CAA052005,1995-11-16,1995-12-15,3,2,CAB004,2,380
CAA052005,1995-11-16,1995-12-15,3,2,SAB074,2,381
CAA052005,1995-11-16,1995-12-15,3,2,SAB074,1,382
CAA052005,2001-05-05,2003-03-15,2,2,CAB004,2,383
CAA052005,2001-05-05,2003-03-15,2,2,SAB074,2,384
CAA052005,2001-05-05,2003-03-15,2,2,SAB074,1,385
CAA052005,2003-03-15,2004-04-15,2,2,CAB004,2,386
CAA052005,2003-03-15,2004-04-15,2,2,SAB074,2,387
CAA052005,2003-03-15,2004-04-15,2,2,SAB074,1,388
CAA052005,2004-04-15,2004-08-17,2,2,CAB004,2,389
CAA052005,2004-04-15,2004-08-17,2,2,SAB074,2,390
CAA052005,2004-04-15,2004-08-17,2,2,SAB074,1,391
CAA052005,2004-08-17,2005-05-30,2,2,CAB004,2,392
CAA052005,2004-08-17,2005-05-30,2,2,SAB074,2,393
CAA052005,2004-08-17,2005-05-30,2,2,SAB074,1,394
CAA052005,2005-05-30,2008-06-15,2,2,CAB004,2,395
CAA052005,2005-05-30,2008-06-15,2,2,SAB074,2,396
CAA052005,2005-05-30,2008-06-15,2,2,SAB074,1,397
CAA052008,1995-11-16,1998-01-15,3,2,CAB036,2,398
CAA052008,2000-10-15,2016-01-15,2,2,CAB036,2,399
CAA053008,1995-11-16,2001-07-15,3,2,CAM068,2,400
CAA053008,1995-11-16,2001-07-15,3,2,WEF058,2,401
CAA053008,2001-09-30,2006-08-07,2,2,CAM068,2,402
CAA053008,2001-09-30,2006-08-07,2,2,WEF058,2,403
CAA053008,2006-08-28,2009-11-15,2,2,CAM068,2,404
CAA053008,2006-08-28,2009-11-15,2,2,WEF058,2,405
CAA053010,1995-11-16,1999-11-15,3,2,CAA053,2,406
CAA053010,1995-11-16,1999-11-15,3,2,CAK046,2,407
CAA053010,2000-05-15,2008-07-15,2,2,CAA053,2,408
CAA053010,2000-05-15,2008-07-15,2,2,CAK046,2,409
CAA053017,1995-11-16,1997-04-23,3,2,CAA053,2,410
CAA053022,1995-11-16,1999-11-16,3,2,CAA002,2,411
CAA053022,1999-11-16,2002-11-15,2,2,CAA002,2,412
CAA053024,2003-02-15,2004-02-05,2,2,CAA053,2,413
CAA053024,2005-02-15,2009-08-03,2,2,CAA053,2,414
CAA053024,2010-05-14,2011-04-15,2,2,CAA053,2,415
CAA055005,NA,NA,NA,NA,CAA055,2,416
CAA055007,1995-11-16,2000-05-15,3,2,CAA045,2,417
CAA055007,2016-01-01,2017-08-15,2,2,CAA045,2,418
CAA055013,NA,NA,NA,NA,CAA055,2,419
CAA056002,1995-11-16,1997-01-15,3,2,CAA056,2,420
CAA056002,1995-11-16,1997-01-15,3,2,WFG070,2,421
CAA056002,1999-12-15,2009-04-15,2,2,CAA056,2,422
CAA056002,1999-12-15,2009-04-15,2,2,WFG070,2,423
CAA056006,1995-11-16,2000-07-30,3,2,CAA056,2,424
CAA056010,NA,NA,NA,NA,CAA056,2,425
